n,Protocol,Original (ms),Disable Precomputable (ms),Impact (%)
3,Non-threshold DKG,3.83,4.80,25.3%
5,Non-threshold DKG,5.89,6.64,12.7%
7,Non-threshold DKG,8.15,9.30,14.1%
10,Non-threshold DKG,11.75,13.58,15.6%
3,Threshold DKG,11.14,11.95,7.3%
5,Threshold DKG,35.58,31.12,-12.5%
7,Threshold DKG,55.72,60.87,9.2%
10,Threshold DKG,110.60,135.08,22.1%
3,Auxiliary data generation,6080.00,369150.00,5971.5%
5,Auxiliary data generation,9320.00,582960.00,6154.9%
7,Auxiliary data generation,12450.00,815620.00,6451.2%
10,Auxiliary data generation,18090.00,1107390.00,6021.6%
3,Signing protocol,928.87,27070.00,2814.3%
5,Signing protocol,1830.00,57420.00,3037.7%
7,Signing protocol,2770.00,84440.00,2948.4%
10,Signing protocol,4540.00,N/A,N/A
