n,Protocol,Original (ms),Optimized (ms),Improvement (%)
3,Non-threshold DKG,3.74,4.80,-28.3%
5,Non-threshold DKG,6.97,6.64,4.7%
7,Non-threshold DKG,9.67,9.30,3.8%
3,Threshold DKG,8.41,11.95,-42.1%
5,Threshold DKG,38.23,31.12,18.6%
7,Threshold DKG,63.74,60.87,4.5%
3,Auxiliary data generation,361557.30,369150.00,-2.1%
5,Auxiliary data generation,590040.49,582960.00,1.2%
7,Auxiliary data generation,822197.58,815620.00,0.8%
3,Signing protocol,41939.06,30280.00,27.8%
5,Signing protocol,76480.98,56290.00,26.4%
7,Signing protocol,130886.63,90050.00,31.2%
