n,Protocol,Time (ms),Time (s)
3,Non-threshold DKG,3.83,0.004
3,Threshold DKG,11.14,0.011
3,Auxiliary data generation,6080.00,6.080
3,Signing protocol,928.87,0.929
5,Non-threshold DKG,5.89,0.006
5,Threshold DKG,35.58,0.036
5,Auxiliary data generation,9320.00,9.320
5,Signing protocol,1830.00,1.830
7,Non-threshold DKG,8.15,0.008
7,Threshold DKG,55.72,0.056
7,Auxiliary data generation,12450.00,12.450
7,Signing protocol,2770.00,2.770
10,Non-threshold DKG,11.75,0.012
10,Threshold DKG,110.60,0.111
10,Auxiliary data generation,18090.00,18.090
10,Signing protocol,4540.00,4.540
