n,Protocol,Time (ms),Time (s)
3,Non-threshold DKG,4.80,0.005
3,Threshold DKG,11.95,0.012
3,Hierarchical threshold DKG,14.99,0.015
3,Auxiliary data generation,369150.00,369.150
3,Threshold signing protocol,30280.00,30.280
3,Hierarchical threshold signing protocol,13490.00,13.490
5,Non-threshold DKG,6.64,0.007
5,Threshold DKG,31.12,0.031
5,Hierarchical threshold DKG,33.78,0.034
5,Auxiliary data generation,582960.00,582.960
5,Threshold signing protocol,56290.00,56.290
5,Hierarchical threshold signing protocol,33410.00,33.410
7,Non-threshold DKG,9.30,0.009
7,Threshold DKG,60.87,0.061
7,Hierarchical threshold DKG,60.15,0.060
7,Auxiliary data generation,815620.00,815.620
7,Threshold signing protocol,90050.00,90.050
7,Hierarchical threshold signing protocol,74330.00,74.330
10,Non-threshold DKG,13.58,0.014
10,Threshold DKG,135.08,0.135
10,Hierarchical threshold DKG,111.34,0.111
10,Auxiliary data generation,1107390.00,1107.390
